"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C5","10uF","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C2,C9,C10","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","3","","",""
"C3","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C4","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C6","CL05A225MQ5NSNC","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C7,C8","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"C11","10uF/16V","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C12,C14","0.1uF/50V(10%)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"C13,C16","CL05B104KO5NNNC","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C15,C17","RVT47UF35V67RV0039","Capacitor_SMD:CP_Elec_3x5.4","","2","","",""
"D1,D2,D3,D4,D5","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","5","","",""
"IC1,IC2","DRV8871DDARQ1","SOIC127P600X170-9N","http://www.ti.com/lit/gpn/drv8871-q1","2","","",""
"J1","TYPE-C-31-M-12","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"J4,J6","S6B-EH(LF)(SN)","Connector_JST:JST_EH_S6B-EH_1x06_P2.50mm_Horizontal","~","2","","",""
"R1,R8","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R2,R3","5.1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R4","0402WGJ0513TCE","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R5","0402WGJ0163TCE","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R6","120","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R7,R12,R13,R14,R15","0402WGF1501TCE","Resistor_SMD:R_0402_1005Metric","~","5","","",""
"R9,R16","0402WGJ0303TCE","Resistor_SMD:R_0402_1005Metric","~","2","","",""
"SW3,SW4","GT-TC032A-H015-L1","Button_Switch_SMD:SW_SPST_B3U-1000P","~","2","","",""
"U1","ESP32-S3-WROOM-1U-N16R8","ESP32-S3-WROOM-1U-N16R8:XCVR_ESP32-S3-WROOM-1U-N16R8","","1","","",""
"U2","MCP2515-xSO","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf","1","","",""
"U3","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","1","","",""
"U4","TLV76701DRVR","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias","www.ti.com/lit/gpn/TLV767","1","","",""
"U5","TJA1051T","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.nxp.com/docs/en/data-sheet/TJA1051.pdf","1","","",""
"Y1","X49SM8MSD2SC","Crystal:Crystal_SMD_HC49-SD","~","1","","",""
